client_id,age,job,marital,education,credit_default,mortgage
0,0,56,housemaid,married,basic_4y,0.0,0.0
1,1,57,services,married,high_school,,0.0
2,2,37,services,married,high_school,0.0,1.0
3,3,40,admin_,married,basic_6y,0.0,0.0
4,4,56,services,married,high_school,0.0,0.0
5,5,45,services,married,basic_9y,,0.0
6,6,59,admin_,married,professional_course,0.0,0.0
7,7,41,blue-collar,married,np.NaN,,0.0
8,8,24,technician,single,professional_course,0.0,1.0
9,9,25,services,single,high_school,0.0,1.0
10,10,41,blue-collar,married,np.NaN,,0.0
11,11,25,services,single,high_school,0.0,1.0
12,12,29,blue-collar,single,high_school,0.0,0.0
13,13,57,housemaid,divorced,basic_4y,0.0,1.0
14,14,35,blue-collar,married,basic_6y,0.0,1.0
15,15,54,retired,married,basic_9y,,1.0
16,16,35,blue-collar,married,basic_6y,0.0,1.0
17,17,46,blue-collar,married,basic_6y,,1.0
18,18,50,blue-collar,married,basic_9y,0.0,1.0
19,19,39,management,single,basic_9y,,0.0
20,20,30,unemployed,married,high_school,0.0,0.0
21,21,55,blue-collar,married,basic_4y,,1.0
22,22,55,retired,single,high_school,0.0,1.0
23,23,41,technician,single,high_school,0.0,1.0
24,24,37,admin_,married,high_school,0.0,1.0
25,25,35,technician,married,university_degree,0.0,0.0
26,26,59,technician,married,np.NaN,0.0,1.0
27,27,39,self-employed,married,basic_9y,,0.0
28,28,54,technician,single,university_degree,,0.0
29,29,55,unknown,married,university_degree,,
30,30,46,admin_,married,np.NaN,0.0,0.0
31,31,59,technician,married,np.NaN,0.0,1.0
32,32,49,blue-collar,married,np.NaN,0.0,0.0
33,33,54,management,married,basic_4y,,1.0
34,34,54,blue-collar,divorced,basic_4y,0.0,0.0
35,35,55,unknown,married,basic_4y,,1.0
36,36,34,services,married,high_school,0.0,0.0
37,37,52,technician,married,basic_9y,0.0,1.0
38,38,41,admin_,married,university_degree,0.0,1.0
39,39,56,technician,married,basic_4y,0.0,1.0
40,40,58,management,unknown,university_degree,0.0,1.0
41,41,32,entrepreneur,married,high_school,0.0,1.0
42,42,38,admin_,single,professional_course,0.0,0.0
43,43,57,admin_,married,university_degree,0.0,0.0
44,44,44,admin_,married,university_degree,,1.0
45,45,42,technician,single,professional_course,,0.0
46,46,57,admin_,married,university_degree,0.0,1.0
47,47,40,blue-collar,married,basic_9y,0.0,0.0
48,48,35,admin_,married,university_degree,0.0,1.0
49,49,45,blue-collar,married,basic_9y,0.0,1.0
50,50,54,admin_,married,high_school,0.0,0.0
51,51,39,housemaid,married,basic_4y,0.0,0.0
52,52,60,admin_,married,high_school,0.0,0.0
53,53,53,admin_,single,professional_course,0.0,0.0
54,54,55,blue-collar,married,basic_4y,,0.0
55,55,55,technician,married,professional_course,,1.0
56,56,50,management,married,university_degree,,0.0
57,57,45,services,married,high_school,,1.0
58,58,55,unemployed,married,professional_course,,1.0
59,59,25,technician,single,university_degree,0.0,1.0
60,60,47,entrepreneur,married,university_degree,,0.0
61,61,51,blue-collar,married,basic_9y,0.0,1.0
62,62,42,blue-collar,married,basic_6y,,1.0
63,63,42,blue-collar,married,basic_6y,,0.0
64,64,48,admin_,married,high_school,0.0,0.0
65,65,37,admin_,married,university_degree,0.0,0.0
66,66,44,blue-collar,single,basic_9y,0.0,1.0
67,67,33,admin_,married,np.NaN,0.0,1.0
68,68,56,admin_,married,basic_9y,0.0,1.0
69,69,44,blue-collar,single,basic_4y,,1.0
70,70,41,management,married,basic_6y,0.0,0.0
71,71,44,management,divorced,university_degree,0.0,1.0
72,72,47,admin_,married,university_degree,,1.0
73,73,57,unknown,married,np.NaN,,0.0
74,74,37,admin_,married,university_degree,,1.0
75,75,41,blue-collar,divorced,basic_4y,,1.0
76,76,55,technician,married,university_degree,0.0,0.0
77,77,33,services,married,high_school,,1.0
78,78,55,management,married,np.NaN,,1.0
79,79,42,blue-collar,married,basic_9y,,0.0
80,80,50,blue-collar,married,basic_4y,,1.0
81,81,51,blue-collar,married,basic_4y,,
82,82,38,admin_,married,high_school,,0.0
83,83,49,entrepreneur,married,university_degree,,1.0
84,84,38,technician,single,university_degree,0.0,0.0
85,85,31,admin_,divorced,high_school,0.0,0.0
86,86,41,management,married,basic_6y,0.0,0.0
87,87,39,admin_,married,university_degree,0.0,1.0
88,88,49,technician,married,basic_9y,0.0,0.0
89,89,34,admin_,married,high_school,0.0,1.0
90,90,35,admin_,married,university_degree,0.0,1.0
91,91,57,unknown,married,np.NaN,,1.0
92,92,60,admin_,married,np.NaN,,0.0
93,93,33,unemployed,married,basic_9y,0.0,0.0
94,94,42,blue-collar,married,basic_6y,0.0,0.0
95,95,45,services,married,professional_course,0.0,1.0
96,96,42,management,married,university_degree,0.0,0.0
97,97,53,admin_,divorced,university_degree,,0.0
98,98,37,technician,single,professional_course,0.0,0.0
99,99,44,blue-collar,married,basic_6y,0.0,0.0
100,100,54,services,married,np.NaN,0.0,1.0
101,101,49,blue-collar,married,basic_4y,0.0,0.0
102,102,54,services,married,np.NaN,0.0,0.0
103,103,52,admin_,divorced,university_degree,0.0,0.0
104,104,52,admin_,divorced,university_degree,0.0,0.0
105,105,43,services,single,high_school,,0.0
106,106,34,housemaid,married,basic_6y,0.0,1.0
107,107,35,admin_,married,high_school,0.0,1.0
108,108,42,entrepreneur,married,np.NaN,,1.0
109,109,43,technician,married,np.NaN,,1.0
110,110,60,retired,divorced,university_degree,,0.0
111,111,58,unemployed,married,basic_4y,,0.0
112,112,35,services,divorced,high_school,0.0,1.0
113,113,55,blue-collar,married,basic_9y,,1.0
114,114,37,management,married,university_degree,0.0,0.0
115,115,36,blue-collar,married,high_school,0.0,0.0
116,116,52,admin_,divorced,university_degree,0.0,0.0
117,117,57,blue-collar,divorced,np.NaN,,1.0
118,118,56,admin_,married,np.NaN,0.0,1.0
119,119,48,blue-collar,divorced,basic_4y,,1.0
120,120,40,blue-collar,married,high_school,,1.0
121,121,49,blue-collar,divorced,high_school,0.0,0.0
122,122,41,services,married,high_school,0.0,0.0
123,123,45,technician,married,high_school,0.0,1.0
124,124,32,admin_,married,university_degree,0.0,1.0
125,125,42,admin_,married,university_degree,0.0,0.0
126,126,50,admin_,married,basic_6y,0.0,0.0
127,127,31,technician,divorced,professional_course,0.0,1.0
128,128,56,retired,married,basic_4y,0.0,1.0
129,129,41,technician,married,professional_course,,1.0
130,130,37,blue-collar,married,basic_6y,0.0,1.0
131,131,41,technician,married,professional_course,,0.0
132,132,35,blue-collar,married,np.NaN,0.0,1.0
133,133,37,blue-collar,married,basic_6y,0.0,1.0
134,134,52,management,married,university_degree,0.0,0.0
135,135,39,management,divorced,university_degree,0.0,0.0
136,136,39,housemaid,married,basic_4y,,0.0
137,137,56,blue-collar,married,basic_4y,,0.0
138,138,34,services,married,high_school,0.0,1.0
139,139,45,blue-collar,married,basic_9y,,1.0
140,140,43,unemployed,single,university_degree,0.0,1.0
141,141,56,management,married,np.NaN,0.0,1.0
142,142,39,management,married,university_degree,0.0,1.0
143,143,53,blue-collar,married,basic_4y,0.0,1.0
144,144,38,unknown,divorced,high_school,,1.0
145,145,42,blue-collar,married,basic_4y,,1.0
146,146,42,blue-collar,married,basic_4y,,0.0
147,147,35,admin_,single,high_school,0.0,1.0
148,148,40,admin_,married,university_degree,,1.0
149,149,51,blue-collar,married,basic_4y,0.0,1.0
150,150,60,blue-collar,married,basic_9y,,0.0
151,151,56,entrepreneur,married,np.NaN,,1.0
152,152,39,services,divorced,high_school,,1.0
153,153,56,entrepreneur,married,np.NaN,,0.0
154,154,40,blue-collar,married,np.NaN,0.0,1.0
155,155,36,blue-collar,married,basic_9y,0.0,1.0
156,156,51,blue-collar,married,np.NaN,,1.0
157,157,51,blue-collar,married,np.NaN,,0.0
158,158,43,technician,single,professional_course,0.0,1.0
159,159,59,services,married,high_school,0.0,0.0
160,160,24,management,single,university_degree,0.0,1.0
161,161,37,blue-collar,single,basic_9y,,1.0
162,162,40,blue-collar,married,basic_9y,,0.0
163,163,42,blue-collar,married,basic_9y,,0.0
164,164,39,services,divorced,high_school,,0.0
165,165,37,entrepreneur,married,basic_6y,0.0,0.0
166,166,38,services,married,high_school,0.0,1.0
167,167,56,admin_,divorced,np.NaN,,0.0
168,168,40,blue-collar,married,np.NaN,0.0,0.0
169,169,54,management,divorced,university_degree,0.0,1.0
170,170,43,blue-collar,married,high_school,,0.0
171,171,36,services,married,high_school,,0.0
172,172,45,technician,married,university_degree,0.0,1.0
173,173,42,admin_,single,university_degree,,0.0
174,174,43,services,married,high_school,0.0,0.0
175,175,46,management,married,basic_9y,0.0,0.0
176,176,44,services,married,high_school,0.0,1.0
177,177,51,admin_,single,basic_6y,0.0,0.0
178,178,28,services,married,high_school,0.0,1.0
179,179,37,blue-collar,married,basic_9y,0.0,0.0
180,180,34,technician,married,high_school,0.0,0.0
181,181,46,blue-collar,married,basic_6y,,1.0
182,182,42,blue-collar,married,basic_9y,0.0,1.0
183,183,36,admin_,married,university_degree,0.0,1.0
184,184,54,blue-collar,married,basic_4y,,0.0
185,185,57,management,married,university_degree,0.0,0.0
186,186,51,technician,married,basic_6y,,0.0
187,187,54,retired,married,high_school,,0.0
188,188,49,blue-collar,married,basic_4y,,0.0
189,189,34,admin_,married,university_degree,0.0,1.0
190,190,41,technician,married,professional_course,0.0,0.0
191,191,38,blue-collar,single,basic_9y,0.0,1.0
192,192,45,management,divorced,university_degree,0.0,0.0
193,193,42,technician,married,university_degree,0.0,0.0
194,194,34,blue-collar,single,basic_9y,,1.0
195,195,48,blue-collar,married,basic_4y,0.0,1.0
196,196,37,admin_,married,high_school,,1.0
197,197,34,blue-collar,single,basic_9y,,0.0
198,198,40,admin_,married,basic_9y,,1.0
199,199,43,blue-collar,married,basic_6y,0.0,1.0
200,200,33,services,married,high_school,0.0,0.0
201,201,32,services,single,basic_6y,0.0,0.0
202,202,39,blue-collar,married,high_school,0.0,1.0
203,203,43,admin_,married,np.NaN,0.0,0.0
204,204,44,blue-collar,married,basic_9y,0.0,1.0
205,205,35,student,single,university_degree,,0.0
206,206,35,student,single,university_degree,,1.0
207,207,35,unemployed,married,professional_course,0.0,0.0
